sample	total_contig	total_contig_length	max_contig_length	mean_contig_length	median_contig_length	min_contig_length	n50_contig_length	l50_contig_count	num_contig_non_acgtn	contig_percent_a	contig_percent_c	contig_percent_g	contig_percent_t	contig_percent_n	contig_non_acgtn	contigs_greater_1m	contigs_greater_100k	contigs_greater_10k	contigs_greater_1k	percent_contigs_greater_1m	percent_contigs_greater_100k	percent_contigs_greater_10k	percent_contigs_greater_1k
25ARS-APM0080-20260323A	140	5017851	548373	35841	5317	502	116668	13	0	24.73	25.48	25.18	24.61	0.00	0.00	0	16	64	118	0.00	11.43	45.71	84.29
25ARS-APM0099-20260323A	135	5304438	380911	39292	16407	503	96785	17	0	24.70	25.47	25.10	24.73	0.00	0.00	0	16	80	117	0.00	11.85	59.26	86.67
25ARS-APM0100-20260323A	186	4894470	233933	26314	8265	504	77419	19	0	24.69	25.15	25.52	24.65	0.00	0.00	0	13	87	159	0.00	6.99	46.77	85.48
25ARS-APM0101-20260323P	118	5011501	357916	42470	9171	518	114593	13	0	24.66	25.33	25.45	24.57	0.00	0.00	0	16	58	92	0.00	13.56	49.15	77.97
25ARS-APM0102-20260323P	142	5076028	548489	35746	5070	503	107795	14	0	24.65	25.38	25.28	24.69	0.00	0.00	0	15	65	114	0.00	10.56	45.77	80.28
25ARS-APM0103-20260323P	159	5099043	262883	32069	8218	502	121098	15	0	24.61	25.36	25.38	24.65	0.00	0.00	0	18	74	131	0.00	11.32	46.54	82.39
25ARS-APM0104-20260323P	148	5138001	356034	34716	7982	502	107041	14	0	24.64	25.09	25.67	24.59	0.00	0.00	0	15	70	125	0.00	10.14	47.30	84.46
25ARS-APM0150-20260316P	127	5081758	548847	40013	8105	512	121597	12	0	24.67	25.50	25.17	24.67	0.00	0.00	0	16	60	101	0.00	12.60	47.24	79.53
25ARS-APM0152-20260316P	164	5097576	294431	31082	4761	500	121146	15	0	24.67	25.14	25.59	24.60	0.00	0.00	0	17	70	128	0.00	10.37	42.68	78.05
25ARS-APM0242-20260316A	127	4988521	548537	39279	5697	512	138879	12	0	24.56	25.34	25.46	24.64	0.00	0.00	0	17	57	104	0.00	13.39	44.88	81.89
25ARS-BRH0138-20260316A	125	4989974	548537	39919	8833	518	137374	11	0	24.51	25.30	25.51	24.68	0.00	0.00	0	16	59	99	0.00	12.80	47.20	79.20
25ARS-BRH0141-20260316A	133	5431484	673982	40838	8677	523	153266	11	0	24.77	25.51	24.94	24.78	0.00	0.00	0	15	65	109	0.00	11.28	48.87	81.95
25ARS-BRT0013-20250905P	127	4985685	358649	39257	8312	526	109381	13	0	24.63	25.27	25.44	24.67	0.00	0.00	0	14	60	109	0.00	11.02	47.24	85.83
25ARS-BRT0026-20251001P	122	5010210	357798	41067	11529	502	119204	13	0	24.70	25.43	25.27	24.60	0.00	0.00	0	17	63	101	0.00	13.93	51.64	82.79
25ARS-BRT0028-20251001P	116	4831084	355910	41647	9033	505	124292	12	0	24.65	25.13	25.55	24.66	0.00	0.00	0	16	57	93	0.00	13.79	49.14	80.17
25ARS-BRT0042-20250916P	124	4908346	348222	39583	6166	516	147895	11	0	24.79	25.01	25.46	24.74	0.00	0.00	0	16	53	108	0.00	12.90	42.74	87.10
25ARS-BRT0043-20250916P	150	5135054	363258	34233	4811	505	129251	14	0	24.70	25.41	25.20	24.69	0.00	0.00	0	17	61	131	0.00	11.33	40.67	87.33
25ARS-BRT0044-20251001A	420	4877488	82519	11613	7468	501	21244	71	0	24.74	25.13	25.35	24.78	0.00	0.00	0	0	173	382	0.00	0.00	41.19	90.95
25ARS-BRT0065-20260323P	118	5067521	373002	42945	11755	520	110931	13	0	24.65	25.42	25.14	24.79	0.00	0.00	0	15	62	101	0.00	12.71	52.54	85.59
25ARS-BRT0066-20260323P	125	5003372	358648	40026	9878	502	109608	14	0	24.62	25.39	25.34	24.65	0.00	0.00	0	16	62	104	0.00	12.80	49.60	83.20
25ARS-BRT0068-20260323P	103	5094705	373502	49463	15748	510	127625	12	0	24.71	25.36	25.14	24.79	0.00	0.00	0	17	56	90	0.00	16.50	54.37	87.38
25ARS-BRT0140-20260316P	144	4992302	270286	34668	8419	504	103295	14	0	24.72	25.27	25.28	24.72	0.00	0.00	0	15	65	124	0.00	10.42	45.14	86.11
25ARS-BRT0141-20260316P	145	5391598	572033	37183	3275	516	247399	8	0	24.51	25.46	25.32	24.71	0.00	0.00	0	17	38	112	0.00	11.72	26.21	77.24
25ARS-CMC0014-20250903P	152	5069896	548489	33354	5070	504	118724	13	0	24.67	25.48	25.18	24.67	0.00	0.00	0	16	64	122	0.00	10.53	42.11	80.26
25ARS-CMC0015-20250903P	151	5061506	548465	33519	7305	518	107771	14	0	24.69	25.37	25.28	24.65	0.00	0.00	0	15	67	126	0.00	9.93	44.37	83.44
25ARS-CMC0022-20260330A	149	5109145	548489	34289	6635	503	116995	13	0	24.59	25.04	25.55	24.81	0.00	0.00	0	16	67	117	0.00	10.74	44.97	78.52
25ARS-CMC0048-20251001P	153	5386678	504365	35207	3243	519	154533	10	0	24.70	25.20	25.43	24.66	0.00	0.00	0	15	57	123	0.00	9.80	37.25	80.39
25ARS-CMC0056-20250905P	157	5064152	328849	32255	5648	504	107795	15	0	24.66	25.32	25.34	24.68	0.00	0.00	0	16	67	132	0.00	10.19	42.68	84.08
25ARS-CMC0061-20250911P	184	5064058	355673	27522	4795	505	102815	15	0	24.67	25.45	25.21	24.67	0.00	0.00	0	15	75	148	0.00	8.15	40.76	80.43
25ARS-CMC0062-20250911P	168	5152594	217670	30670	11068	555	81614	21	0	24.64	25.50	25.22	24.63	0.00	0.00	0	12	89	157	0.00	7.14	52.98	93.45
25ARS-CMC0063-20250911P	107	4932175	318396	46095	9757	511	174439	11	0	24.65	25.53	25.10	24.73	0.00	0.00	0	16	52	93	0.00	14.95	48.60	86.92
25ARS-CRH0011-20250801P	168	5220390	294137	31073	6083	503	107121	16	0	24.57	25.42	25.37	24.63	0.00	0.00	0	18	76	136	0.00	10.71	45.24	80.95
25ARS-CRH0012-20250801P	92	4848288	327595	52698	19557	510	173717	11	0	24.65	25.15	25.40	24.80	0.00	0.00	0	17	53	81	0.00	18.48	57.61	88.04
25ARS-CRH0013-20250801P	174	5248576	454698	30164	4232	503	119806	13	0	24.83	25.32	25.26	24.59	0.00	0.00	0	16	73	134	0.00	9.20	41.95	77.01
25ARS-CRH0021-20251001P	144	5390425	247183	37433	21412	516	81616	22	0	24.76	25.19	25.28	24.78	0.00	0.00	0	14	90	127	0.00	9.72	62.50	88.19
25ARS-CRH0028-20250807P	131	5287975	388428	40366	3909	507	199607	10	0	24.75	25.57	25.15	24.53	0.00	0.00	0	17	46	100	0.00	12.98	35.11	76.34
25ARS-CRH0029-20250807P	179	5067052	294383	28307	4290	501	104740	15	0	24.59	25.59	25.18	24.63	0.00	0.00	0	16	71	136	0.00	8.94	39.66	75.98
25ARS-CRH0030-20250807P	111	4836896	302689	43575	8866	511	132734	12	0	24.87	25.48	25.08	24.57	0.00	0.00	0	18	53	93	0.00	16.22	47.75	83.78
25ARS-CRH0039-20260323P	98	4873158	348519	49726	6528	510	174168	10	0	24.76	25.55	25.00	24.69	0.00	0.00	0	18	45	84	0.00	18.37	45.92	85.71
25ARS-CRH0054-20260316P	102	5063329	676984	49640	8611	508	171534	9	0	24.52	25.21	25.57	24.70	0.00	0.00	0	17	49	87	0.00	16.67	48.04	85.29
25ARS-CVM0112-20260323P	179	5201149	244349	29056	9396	531	86549	20	0	24.74	25.21	25.28	24.77	0.00	0.00	0	12	87	152	0.00	6.70	48.60	84.92
25ARS-DMC0027-20250708A	151	5123180	360353	33928	9791	527	100263	15	0	24.79	25.28	25.26	24.67	0.00	0.00	0	15	75	133	0.00	9.93	49.67	88.08
25ARS-DMC0028-20250704P	82	4846287	348270	59101	19977	501	179004	10	0	24.70	25.11	25.44	24.75	0.00	0.00	0	19	45	70	0.00	23.17	54.88	85.37
25ARS-DMC0029-20250704P	163	5348016	381695	32809	10935	512	90194	18	0	24.62	25.11	25.41	24.86	0.00	0.00	0	14	85	145	0.00	8.59	52.15	88.96
25ARS-DMC0030-20250708A	110	5043657	629263	45851	12843	508	134955	10	0	24.67	25.31	25.37	24.65	0.00	0.00	0	16	58	99	0.00	14.55	52.73	90.00
25ARS-DMC0031-20250704P	127	5357097	388570	42181	6150	507	145612	12	0	24.59	25.26	25.55	24.59	0.00	0.00	0	20	56	109	0.00	15.75	44.09	85.83
25ARS-DMC0053-20250801A	118	4893496	327201	41470	7294	511	132930	12	0	24.75	25.04	25.45	24.76	0.00	0.00	0	19	56	102	0.00	16.10	47.46	86.44
25ARS-DMC0056-20250801A	131	5212512	357900	39790	6961	506	160077	11	0	24.68	25.29	25.29	24.73	0.00	0.00	0	14	55	112	0.00	10.69	41.98	85.50
25ARS-DMC0057-20250801A	133	5251085	669034	39481	7319	508	114372	11	0	24.82	25.37	25.18	24.63	0.00	0.00	0	15	65	112	0.00	11.28	48.87	84.21
25ARS-DMC0058-20250801A	117	4901501	296011	41893	5993	502	132944	12	0	24.68	25.13	25.38	24.81	0.00	0.00	0	18	55	100	0.00	15.38	47.01	85.47
25ARS-DMC0061-20250801A	60	5004622	651491	83410	25798	580	274507	7	0	24.63	25.34	25.30	24.72	0.00	0.00	0	17	37	52	0.00	28.33	61.67	86.67
25ARS-DMC0062-20250801A	60	5011144	651445	83519	17054	517	279790	6	0	24.64	25.31	25.33	24.72	0.00	0.00	0	17	32	47	0.00	28.33	53.33	78.33
25ARS-DMC0063-20250801A	119	4814812	348323	40460	6338	516	132852	11	0	24.65	25.19	25.40	24.76	0.00	0.00	0	17	49	101	0.00	14.29	41.18	84.87
25ARS-DMC0096-20260401P	147	5199542	380714	35371	12673	500	101141	16	0	24.77	25.26	25.28	24.68	0.00	0.00	0	16	78	122	0.00	10.88	53.06	82.99
25ARS-DMC0098-20260401P	111	4808806	327324	43322	6214	518	174262	10	0	24.65	25.15	25.45	24.74	0.00	0.00	0	16	52	94	0.00	14.41	46.85	84.68
25ARS-DMC0103-20260401P	128	5199890	326798	40624	16453	504	101191	17	0	24.79	25.30	25.25	24.67	0.00	0.00	0	17	75	113	0.00	13.28	58.59	88.28
25ARS-DMC0150-20251023P	109	5091153	357864	46707	10050	532	157330	12	0	24.70	25.43	25.24	24.63	0.00	0.00	0	15	55	99	0.00	13.76	50.46	90.83
25ARS-DMC0151-20251001A	193	5048554	365221	26158	7350	503	88365	20	0	24.47	25.30	25.50	24.73	0.00	0.00	0	13	86	173	0.00	6.74	44.56	89.64
25ARS-DMC0152-20251001A	121	4955710	327324	40956	5354	518	191217	10	0	24.69	25.48	25.16	24.67	0.00	0.00	0	16	52	104	0.00	13.22	42.98	85.95
25ARS-DMC0201-20260323A	100	5025005	509924	50250	10809	501	143091	12	0	24.55	25.29	25.49	24.67	0.00	0.00	0	18	51	81	0.00	18.00	51.00	81.00
25ARS-DMC0262-20260323A	80	4860622	327324	60757	22013	502	184193	10	0	24.62	25.49	25.09	24.80	0.00	0.00	0	18	43	67	0.00	22.50	53.75	83.75
25ARS-DMC0264-20260323A	137	5239652	326797	38245	16182	504	99389	16	0	24.66	24.92	25.57	24.86	0.00	0.00	0	15	79	118	0.00	10.95	57.66	86.13
25ARS-DMC0303-20260316A	94	4812596	327679	51197	9956	520	221408	9	0	24.76	25.61	25.00	24.64	0.00	0.00	0	16	47	79	0.00	17.02	50.00	84.04
25ARS-DMC0304-20260316A	150	4946876	262931	32979	9089	513	117683	15	0	24.53	25.41	25.41	24.65	0.00	0.00	0	17	71	117	0.00	11.33	47.33	78.00
25ARS-DMC0305-20260316A	178	5062702	294431	28442	5420	504	93795	15	0	24.61	25.53	25.28	24.58	0.00	0.00	0	14	76	139	0.00	7.87	42.70	78.09
25ARS-DMC0306-20260316P	113	4809779	327679	42564	8448	561	162909	11	0	24.63	25.32	25.32	24.73	0.00	0.00	0	15	55	100	0.00	13.27	48.67	88.50
25ARS-DMC0307-20260316A	88	4926219	331501	55979	22868	510	174328	10	0	24.80	24.96	25.50	24.73	0.00	0.00	0	18	47	74	0.00	20.45	53.41	84.09
25ARS-DMC0308-20260316A	117	5207953	407689	44512	8844	510	179609	10	0	24.61	25.18	25.48	24.73	0.00	0.00	0	14	55	95	0.00	11.97	47.01	81.20
25ARS-DMC0309-20260316A	96	4817976	514399	50187	9728	520	191599	9	0	24.73	25.22	25.39	24.66	0.00	0.00	0	15	48	80	0.00	15.62	50.00	83.33
25ARS-DMC0310-20260316P	138	5200262	346999	37683	16553	517	92632	18	0	24.64	25.31	25.39	24.66	0.00	0.00	0	14	82	126	0.00	10.14	59.42	91.30
25ARS-DMC0312-20260316A	111	5207459	357904	46914	9094	510	184469	10	0	24.65	25.23	25.43	24.68	0.00	0.00	0	13	55	94	0.00	11.71	49.55	84.68
25ARS-EVR0071-20260316P	146	5101699	372754	34943	4888	512	134808	13	0	24.58	25.36	25.38	24.68	0.00	0.00	0	18	63	114	0.00	12.33	43.15	78.08
25ARS-GMH0004-20250704P	133	5044613	283556	37929	11397	515	120008	15	0	24.72	25.29	25.32	24.68	0.00	0.00	0	20	68	113	0.00	15.04	51.13	84.96
25ARS-GMH0005-20250704P	185	5067471	283688	27391	3808	504	111430	15	0	24.68	25.20	25.41	24.71	0.00	0.00	0	15	73	148	0.00	8.11	39.46	80.00
25ARS-GMH0020-20260330A	123	4944657	359183	40200	9878	517	109608	14	0	24.55	25.51	25.27	24.67	0.00	0.00	0	16	61	106	0.00	13.01	49.59	86.18
25ARS-GMH0021-20260401P	165	5054823	294347	30635	9323	515	92974	17	0	24.65	25.32	25.42	24.61	0.00	0.00	0	16	81	137	0.00	9.70	49.09	83.03
25ARS-GMH0030-20250916P	211	4958915	161377	23501	11837	504	59191	29	0	24.68	25.35	25.24	24.73	0.00	0.00	0	8	108	186	0.00	3.79	51.18	88.15
