query,predicted.name,predicted.rank,predicted.ncbi_id,predicted.threshold,closest.distance,closest.description,next.name,next.rank,next.ncbi_id,next.threshold
25ARS-APM0080-20260323A,Escherichia coli,species,562,0.0,0.24659581,[GCF_000355495.2] Escherichia coli BCE001_MS16 (E. coli),,,,
25ARS-APM0099-20260323A,Escherichia coli,species,562,0.0,0.05246074,[GCF_000781675.1] Escherichia coli (E. coli),,,,
25ARS-APM0100-20260323A,Escherichia coli,species,562,0.0,0.12487629,[GCF_000812645.1] Escherichia coli (E. coli),,,,
25ARS-APM0101-20260323P,Escherichia coli,species,562,0.0,0.11770107,[GCF_001519575.1] Escherichia coli (E. coli),,,,
25ARS-APM0102-20260323P,Escherichia coli,species,562,0.0,0.2512368,[GCF_000355495.2] Escherichia coli BCE001_MS16 (E. coli),,,,
25ARS-APM0103-20260323P,Escherichia coli,species,562,0.0,0.24407826,[GCF_001576295.1] Escherichia coli (E. coli),,,,
25ARS-APM0104-20260323P,Escherichia coli,species,562,0.0,0.15928823,[GCF_000812645.1] Escherichia coli (E. coli),,,,
25ARS-APM0150-20260316P,Escherichia coli,species,562,0.0,0.2535826,[GCF_000355495.2] Escherichia coli BCE001_MS16 (E. coli),,,,
25ARS-APM0152-20260316P,Escherichia coli,species,562,0.0,0.24086836,[GCF_001576295.1] Escherichia coli (E. coli),,,,
25ARS-APM0242-20260316A,Escherichia coli,species,562,0.0,0.23836674,[GCF_000355495.2] Escherichia coli BCE001_MS16 (E. coli),,,,
25ARS-BRH0138-20260316A,Escherichia coli,species,562,0.0,0.23847443,[GCF_000355495.2] Escherichia coli BCE001_MS16 (E. coli),,,,
25ARS-BRH0141-20260316A,Escherichia coli,species,562,0.0,0.20793982,[GCF_000179115.1] Escherichia coli MS 145-7 (E. coli),,,,
25ARS-BRT0013-20250905P,Escherichia coli,species,562,0.0,0.08673516,[GCF_000812645.1] Escherichia coli (E. coli),,,,
25ARS-BRT0026-20251001P,Escherichia coli,species,562,0.0,0.11039542,[GCF_000812645.1] Escherichia coli (E. coli),,,,
25ARS-BRT0028-20251001P,Escherichia coli,species,562,0.0,0.09941306,[GCF_000812645.1] Escherichia coli (E. coli),,,,
25ARS-BRT0042-20250916P,Escherichia coli,species,562,0.0,0.083348855,[GCF_001282225.1] Escherichia coli (E. coli),,,,
25ARS-BRT0043-20250916P,Escherichia coli,species,562,0.0,0.15815833,[GCF_001402805.1] Escherichia coli (E. coli),,,,
25ARS-BRT0044-20251001A,Escherichia coli,species,562,0.0,0.047221694,[GCF_001463385.1] Escherichia coli (E. coli),,,,
25ARS-BRT0065-20260323P,Escherichia coli,species,562,0.0,0.15121648,[GCF_001282155.1] Escherichia coli (E. coli),,,,
25ARS-BRT0066-20260323P,Escherichia coli,species,562,0.0,0.10781236,[GCF_000812645.1] Escherichia coli (E. coli),,,,
25ARS-BRT0068-20260323P,Escherichia coli,species,562,0.0,0.15677568,[GCF_001463645.1] Escherichia coli (E. coli),,,,
25ARS-BRT0140-20260316P,Escherichia coli,species,562,0.0,0.13971913,[GCF_000488615.1] Escherichia coli 908555 (E. coli),,,,
25ARS-BRT0141-20260316P,Escherichia coli,species,562,0.0,0.08476637,[GCF_001052755.1] Escherichia coli (E. coli),,,,
25ARS-CMC0014-20250903P,Escherichia coli,species,562,0.0,0.25082508,[GCF_000355495.2] Escherichia coli BCE001_MS16 (E. coli),,,,
25ARS-CMC0015-20250903P,Escherichia coli,species,562,0.0,0.251134,[GCF_000355495.2] Escherichia coli BCE001_MS16 (E. coli),,,,
25ARS-CMC0022-20260330A,Escherichia coli,species,562,0.0,0.2545559,[GCF_000355495.2] Escherichia coli BCE001_MS16 (E. coli),,,,
25ARS-CMC0048-20251001P,Escherichia coli,species,562,0.0,0.2730522,[GCF_000259135.1] Escherichia coli AI27 (E. coli),,,,
25ARS-CMC0056-20250905P,Escherichia coli,species,562,0.0,0.25111404,[GCF_000355495.2] Escherichia coli BCE001_MS16 (E. coli),,,,
25ARS-CMC0061-20250911P,Escherichia coli,species,562,0.0,0.2512173,[GCF_000355495.2] Escherichia coli BCE001_MS16 (E. coli),,,,
25ARS-CMC0062-20250911P,Escherichia coli,species,562,0.0,0.24997878,[GCF_001576295.1] Escherichia coli (E. coli),,,,
25ARS-CMC0063-20250911P,Escherichia coli,species,562,0.0,0.06690862,[GCF_001463385.1] Escherichia coli (E. coli),,,,
25ARS-CRH0011-20250801P,Escherichia coli,species,562,0.0,0.25853822,[GCF_001576295.1] Escherichia coli (E. coli),,,,
25ARS-CRH0012-20250801P,Escherichia coli,species,562,0.0,0.04490222,[GCF_001463385.1] Escherichia coli (E. coli),,,,
25ARS-CRH0013-20250801P,Escherichia coli,species,562,0.0,0.16746052,[GCF_000179115.1] Escherichia coli MS 145-7 (E. coli),,,,
25ARS-CRH0021-20251001P,Escherichia coli,species,562,0.0,0.28528747,[GCF_001576295.1] Escherichia coli (E. coli),,,,
25ARS-CRH0028-20250807P,Escherichia coli,species,562,0.0,0.06506024,[GCF_000780595.1] Escherichia coli (E. coli),,,,
25ARS-CRH0029-20250807P,Escherichia coli,species,562,0.0,0.23305269,[GCF_001576295.1] Escherichia coli (E. coli),,,,
25ARS-CRH0030-20250807P,Escherichia coli,species,562,0.0,0.03778626,[GCF_001463385.1] Escherichia coli (E. coli),,,,
25ARS-CRH0039-20260323P,Escherichia coli,species,562,0.0,0.047637053,[GCF_001463385.1] Escherichia coli (E. coli),,,,
